year,sector,component_scheme,side,component,change_m_eur,contribution_m_eur,balance_change_m_eur,component_closure_error_m_eur
1986,central_government,historical_current_capital,revenue,Current revenue,1114.658042,1114.658042,355.3721675,-1.023181539e-12
1987,central_government,historical_current_capital,expenditure,Capital expenditure,-47.09649744,47.09649744,-17.94176036,-3.410605132e-13
1987,central_government,historical_current_capital,expenditure,Current expenditure,715.1964498,-715.1964498,-17.94176036,-3.410605132e-13
1987,central_government,historical_current_capital,revenue,Capital revenue,-28.42150417,-28.42150417,-17.94176036,-3.410605132e-13
1987,central_government,historical_current_capital,revenue,Current revenue,678.5796961,678.5796961,-17.94176036,-3.410605132e-13
1988,central_government,historical_current_capital,expenditure,Capital expenditure,201.3946389,-201.3946389,385.0545186,2.614797268e-12
1988,central_government,historical_current_capital,expenditure,Current expenditure,967.8223413,-967.8223413,385.0545186,2.614797268e-12
1988,central_government,historical_current_capital,revenue,Capital revenue,32.47673108,32.47673108,385.0545186,2.614797268e-12
1988,central_government,historical_current_capital,revenue,Current revenue,1521.794768,1521.794768,385.0545186,2.614797268e-12
1989,central_government,historical_current_capital,expenditure,Capital expenditure,231.0082701,-231.0082701,317.8888878,-1.364242053e-12
1989,central_government,historical_current_capital,expenditure,Current expenditure,1363.45291,-1363.45291,317.8888878,-1.364242053e-12
1989,central_government,historical_current_capital,revenue,Capital revenue,184.8644766,184.8644766,317.8888878,-1.364242053e-12
1989,central_government,historical_current_capital,revenue,Current revenue,1727.485591,1727.485591,317.8888878,-1.364242053e-12
1990,central_government,historical_current_capital,expenditure,Capital expenditure,616.9531429,-616.9531429,-1305.477799,-1.136868377e-12
1990,central_government,historical_current_capital,expenditure,Current expenditure,2554.815966,-2554.815966,-1305.477799,-1.136868377e-12
1990,central_government,historical_current_capital,revenue,Capital revenue,202.8810567,202.8810567,-1305.477799,-1.136868377e-12
1990,central_government,historical_current_capital,revenue,Current revenue,1663.410254,1663.410254,-1305.477799,-1.136868377e-12
1991,central_government,historical_current_capital,expenditure,Capital expenditure,253.8681777,-253.8681777,-836.990852,9.094947018e-13
1991,central_government,historical_current_capital,expenditure,Current expenditure,3049.018915,-3049.018915,-836.990852,9.094947018e-13
1991,central_government,historical_current_capital,revenue,Capital revenue,132.4657575,132.4657575,-836.990852,9.094947018e-13
1991,central_government,historical_current_capital,revenue,Current revenue,2333.430483,2333.430483,-836.990852,9.094947018e-13
1992,central_government,historical_current_capital,expenditure,Capital expenditure,670.2796261,-670.2796261,1225.878632,1.136868377e-12
1992,central_government,historical_current_capital,expenditure,Current expenditure,1642.905308,-1642.905308,1225.878632,1.136868377e-12
1992,central_government,historical_current_capital,revenue,Capital revenue,255.4942588,255.4942588,1225.878632,1.136868377e-12
1992,central_government,historical_current_capital,revenue,Current revenue,3283.569308,3283.569308,1225.878632,1.136868377e-12
1993,central_government,historical_current_capital,expenditure,Capital expenditure,67.51229537,-67.51229537,-2057.319859,-3.637978807e-12
1993,central_government,historical_current_capital,expenditure,Current expenditure,1493.760938,-1493.760938,-2057.319859,-3.637978807e-12
1993,central_government,historical_current_capital,revenue,Capital revenue,-10.05077763,-10.05077763,-2057.319859,-3.637978807e-12
1993,central_government,historical_current_capital,revenue,Current revenue,-485.9958477,-485.9958477,-2057.319859,-3.637978807e-12
1994,central_government,historical_current_capital,expenditure,Capital expenditure,-112.8859064,112.8859064,14.85516051,4.547473509e-13
1994,central_government,historical_current_capital,expenditure,Current expenditure,1181.813102,-1181.813102,14.85516051,4.547473509e-13
1994,central_government,historical_current_capital,revenue,Capital revenue,57.93038777,57.93038777,14.85516051,4.547473509e-13
1994,central_government,historical_current_capital,revenue,Current revenue,1025.851968,1025.851968,14.85516051,4.547473509e-13
1995,central_government,historical_current_capital,expenditure,Capital expenditure,477.6515166,-477.6515166,-148.9696399,-3.183231456e-12
1995,central_government,historical_current_capital,expenditure,Current expenditure,1399.415836,-1399.415836,-148.9696399,-3.183231456e-12
1995,central_government,historical_current_capital,revenue,Capital revenue,175.1678455,175.1678455,-148.9696399,-3.183231456e-12
1995,central_government,historical_current_capital,revenue,Current revenue,1552.929867,1552.929867,-148.9696399,-3.183231456e-12
2001,central_government,modern_detailed,expenditure,Capital expenditure,1208.9524,-1208.9524,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Compensation of employees,898.7284533,-898.7284533,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Interest,160.828,-160.828,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Intermediate consumption,233.799,-233.799,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Other current expenditure,299.538,-299.538,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Social transfers,560.511,-560.511,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,expenditure,Subsidies,123.521,-123.521,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,revenue,Capital revenue,459.643,459.643,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,revenue,Sales and other current revenue,-133.7557229,-133.7557229,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,revenue,Social contributions,181.649,181.649,-1956.745576,-1.091393642e-11
2001,central_government,modern_detailed,revenue,Taxes,1021.596,1021.596,-1956.745576,-1.091393642e-11
2002,central_government,modern_detailed,expenditure,Capital expenditure,-1037.8144,1037.8144,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Compensation of employees,1152.84,-1152.84,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Interest,93.538,-93.538,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Intermediate consumption,30.63,-30.63,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Other current expenditure,1104.984,-1104.984,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Social transfers,708.044,-708.044,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,expenditure,Subsidies,-161.473,161.473,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,revenue,Capital revenue,-446.405,-446.405,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,revenue,Sales and other current revenue,613.3022071,613.3022071,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,revenue,Social contributions,603.01,603.01,667.8856071,5.00222086e-12
2002,central_government,modern_detailed,revenue,Taxes,1788.727,1788.727,667.8856071,5.00222086e-12
2003,central_government,modern_detailed,expenditure,Capital expenditure,772.129,-772.129,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Compensation of employees,520.032,-520.032,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Interest,-149.675,149.675,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Intermediate consumption,292.629,-292.629,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Other current expenditure,274.018,-274.018,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Social transfers,1142.881,-1142.881,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,expenditure,Subsidies,116.16,-116.16,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,revenue,Capital revenue,297.5895432,297.5895432,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,revenue,Sales and other current revenue,-132.5438998,-132.5438998,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,revenue,Social contributions,725.288,725.288,-2884.726357,3.637978807e-12
2003,central_government,modern_detailed,revenue,Taxes,-806.886,-806.886,-2884.726357,3.637978807e-12
2004,central_government,modern_detailed,expenditure,Capital expenditure,1045.592571,-1045.592571,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Compensation of employees,710.486,-710.486,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Interest,12.35857222,-12.35857222,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Intermediate consumption,376.49,-376.49,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Other current expenditure,851.547,-851.547,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Social transfers,615.123,-615.123,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,expenditure,Subsidies,-259.309,259.309,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,revenue,Capital revenue,-641.7390132,-641.7390132,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,revenue,Sales and other current revenue,669.6619796,669.6619796,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,revenue,Social contributions,579.078,579.078,-1221.228177,2.273736754e-13
2004,central_government,modern_detailed,revenue,Taxes,1524.059,1524.059,-1221.228177,2.273736754e-13
2005,central_government,modern_detailed,expenditure,Capital expenditure,-640.895831,640.895831,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Compensation of employees,1113.100043,-1113.100043,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Interest,166.9869376,-166.9869376,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Intermediate consumption,418.377,-418.377,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Other current expenditure,1018.709,-1018.709,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Social transfers,909.009,-909.009,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,expenditure,Subsidies,-10.541,10.541,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,revenue,Capital revenue,201.70347,201.70347,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,revenue,Sales and other current revenue,-233.3503558,-233.3503558,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,revenue,Social contributions,529.853,529.853,-456.5920354,7.275957614e-12
2005,central_government,modern_detailed,revenue,Taxes,2019.947,2019.947,-456.5920354,7.275957614e-12
2006,central_government,modern_detailed,expenditure,Capital expenditure,-727.9767764,727.9767764,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Compensation of employees,-555.3469454,555.3469454,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Interest,510.732215,-510.732215,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Intermediate consumption,265.081,-265.081,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Other current expenditure,1127.282132,-1127.282132,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Social transfers,-107.287,107.287,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,expenditure,Subsidies,-41.775,41.775,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,revenue,Capital revenue,-491.4748028,-491.4748028,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,revenue,Sales and other current revenue,734.8028644,734.8028644,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,revenue,Social contributions,-216.518,-216.518,2093.146436,-1.455191523e-11
2006,central_government,modern_detailed,revenue,Taxes,2537.046,2537.046,2093.146436,-1.455191523e-11
2007,central_government,modern_detailed,expenditure,Capital expenditure,-451.0934221,451.0934221,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Compensation of employees,-43.80620356,43.80620356,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Interest,508.8495224,-508.8495224,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Intermediate consumption,719.405,-719.405,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Other current expenditure,297.423405,-297.423405,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Social transfers,604.52,-604.52,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,expenditure,Subsidies,-68.33,68.33,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,revenue,Capital revenue,44.60618838,44.60618838,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,revenue,Sales and other current revenue,843.1023614,843.1023614,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,revenue,Social contributions,-131.522,-131.522,1519.469248,1.136868377e-11
2007,central_government,modern_detailed,revenue,Taxes,2330.251,2330.251,1519.469248,1.136868377e-11
2008,central_government,modern_detailed,expenditure,Capital expenditure,-47.75968851,47.75968851,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Compensation of employees,326.177106,-326.177106,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Interest,335.5655557,-335.5655557,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Intermediate consumption,102.22,-102.22,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Other current expenditure,1469.913663,-1469.913663,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Social transfers,564.209,-564.209,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,expenditure,Subsidies,-116.826,116.826,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,revenue,Capital revenue,-182.0150255,-182.0150255,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,revenue,Sales and other current revenue,280.600657,280.600657,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,revenue,Social contributions,198.942,198.942,-1366.451005,2.046363079e-12
2008,central_government,modern_detailed,revenue,Taxes,969.521,969.521,-1366.451005,2.046363079e-12
2009,central_government,modern_detailed,expenditure,Capital expenditure,1570.943147,-1570.943147,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Compensation of employees,760.036,-760.036,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Interest,-242.823803,242.823803,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Intermediate consumption,752.88,-752.88,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Other current expenditure,1240.7358,-1240.7358,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Social transfers,1346.395,-1346.395,-8939.254299,0
2009,central_government,modern_detailed,expenditure,Subsidies,44.48,-44.48,-8939.254299,0
2009,central_government,modern_detailed,revenue,Capital revenue,-38.95936,-38.95936,-8939.254299,0
2009,central_government,modern_detailed,revenue,Sales and other current revenue,523.415205,523.415205,-8939.254299,0
2009,central_government,modern_detailed,revenue,Social contributions,296.592,296.592,-8939.254299,0
2009,central_government,modern_detailed,revenue,Taxes,-4247.656,-4247.656,-8939.254299,0
2010,central_government,modern_detailed,expenditure,Capital expenditure,4321.062,-4321.062,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Compensation of employees,70.748,-70.748,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Interest,206.26,-206.26,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Intermediate consumption,-254.402,254.402,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Other current expenditure,1029.858,-1029.858,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Social transfers,-84.573,84.573,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,expenditure,Subsidies,-49.403,49.403,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,revenue,Capital revenue,540.838,540.838,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,revenue,Sales and other current revenue,-792.18232,-792.18232,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,revenue,Social contributions,-141.99954,-141.99954,-3450.50486,-9.094947018e-12
2010,central_government,modern_detailed,revenue,Taxes,2182.389,2182.389,-3450.50486,-9.094947018e-12
2011,central_government,modern_detailed,expenditure,Capital expenditure,-4594.40144,4594.40144,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Compensation of employees,-1773.236,1773.236,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Interest,2235.31747,-2235.31747,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Intermediate consumption,354.495,-354.495,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Other current expenditure,-776.7095,776.7095,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Social transfers,-14.944,14.944,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,expenditure,Subsidies,-158.509,158.509,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,revenue,Capital revenue,-526.743,-526.743,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,revenue,Sales and other current revenue,87.619353,87.619353,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,revenue,Social contributions,-335.60046,-335.60046,5937.106363,-3.637978807e-12
2011,central_government,modern_detailed,revenue,Taxes,1983.843,1983.843,5937.106363,-3.637978807e-12
2012,central_government,modern_detailed,expenditure,Capital expenditure,-771.80633,771.80633,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Compensation of employees,-2490.289,2490.289,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Interest,618.68797,-618.68797,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Intermediate consumption,-889.834,889.834,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Other current expenditure,670.94981,-670.94981,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Social transfers,-1094.858,1094.858,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,expenditure,Subsidies,-69.506,69.506,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,revenue,Capital revenue,1020.168,1020.168,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,revenue,Sales and other current revenue,1030.413617,1030.413617,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,revenue,Social contributions,-1303.341,-1303.341,2259.177167,9.094947018e-13
2012,central_government,modern_detailed,revenue,Taxes,-2514.719,-2514.719,2259.177167,9.094947018e-13
2013,central_government,modern_detailed,expenditure,Capital expenditure,-1239.89023,1239.89023,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Compensation of employees,1294.381,-1294.381,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Interest,-52.94844,52.94844,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Intermediate consumption,-76.722,76.722,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Other current expenditure,1375.69669,-1375.69669,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Social transfers,899.235,-899.235,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,expenditure,Subsidies,-3.813,3.813,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,revenue,Capital revenue,-1084.416,-1084.416,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,revenue,Sales and other current revenue,467.59703,467.59703,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,revenue,Social contributions,981.971,981.971,2047.46001,3.183231456e-12
2013,central_government,modern_detailed,revenue,Taxes,3878.247,3878.247,2047.46001,3.183231456e-12
2014,central_government,modern_detailed,expenditure,Capital expenditure,5209.826,-5209.826,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Compensation of employees,-548.056,548.056,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Interest,230.602,-230.602,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Intermediate consumption,325.7,-325.7,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Other current expenditure,-651.541,651.541,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Social transfers,11.058,-11.058,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,expenditure,Subsidies,250.951,-250.951,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,revenue,Capital revenue,-49.759,-49.759,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,revenue,Sales and other current revenue,-236.903,-236.903,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,revenue,Social contributions,-124.628,-124.628,-4658.72,-1.000444172e-11
2014,central_government,modern_detailed,revenue,Taxes,581.11,581.11,-4658.72,-1.000444172e-11
2015,central_government,modern_detailed,expenditure,Capital expenditure,-3095.367,3095.367,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Compensation of employees,-99.74,99.74,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Interest,-107.370001,107.370001,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Intermediate consumption,109.458,-109.458,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Other current expenditure,-460.391003,460.391003,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Social transfers,1059.937,-1059.937,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,expenditure,Subsidies,-109.176,109.176,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,revenue,Capital revenue,144.968,144.968,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,revenue,Sales and other current revenue,-102.868,-102.868,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,revenue,Social contributions,-236.405,-236.405,4283.124004,1.000444172e-11
2015,central_government,modern_detailed,revenue,Taxes,1774.78,1774.78,4283.124004,1.000444172e-11
2016,central_government,modern_detailed,expenditure,Capital expenditure,-3639.91634,3639.91634,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Compensation of employees,479.024,-479.024,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Interest,-399.422999,399.422999,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Intermediate consumption,198.063,-198.063,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Other current expenditure,126.561003,-126.561003,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Social transfers,126.34,-126.34,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,expenditure,Subsidies,-85.029,85.029,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,revenue,Capital revenue,-86.038,-86.038,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,revenue,Sales and other current revenue,-58.039,-58.039,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,revenue,Social contributions,107.53,107.53,3875.783336,-5.911715562e-12
2016,central_government,modern_detailed,revenue,Taxes,717.95,717.95,3875.783336,-5.911715562e-12
2017,central_government,modern_detailed,expenditure,Capital expenditure,4282.8334,-4282.8334,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Compensation of employees,390.319,-390.319,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Interest,-306.406,306.406,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Intermediate consumption,20.366,-20.366,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Other current expenditure,-275.864,275.864,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Social transfers,168.161,-168.161,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,expenditure,Subsidies,-92.037,92.037,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,revenue,Capital revenue,-232.868,-232.868,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,revenue,Sales and other current revenue,-97.461,-97.461,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,revenue,Social contributions,31.411,31.411,-2405.0894,9.094947018e-12
2017,central_government,modern_detailed,revenue,Taxes,2081.201,2081.201,-2405.0894,9.094947018e-12
2018,central_government,modern_detailed,expenditure,Capital expenditure,-2354.58506,2354.58506,5053.25306,-9.094947018e-13
2018,central_government,modern_detailed,expenditure,Compensation of employees,437.416,-437.416,5053.25306,-9.094947018e-13
2018,central_government,modern_detailed,expenditure,Interest,-493.851,493.851,5053.25306,-9.094947018e-13
2018,central_government,modern_detailed,expenditure,Intermediate consumption,170.058,-170.058,5053.25306,-9.094947018e-13
2018,central_government,modern_detailed,expenditure,Other current expenditure,40.131,-40.131,5053.25306,-9.094947018e-13
2018,central_government,modern_detailed,expenditure,Social transfers,367.097,-367.097,5053.25306,-9.094947018e-13
